类别,指标,MATLAB值,Python值,绝对差异,相对差异(%),状态
价格,q,0.9890000000,0.9890000000,0.00e+00,0.0000,匹配
价格,rental,0.0261223458,0.0261223458,0.00e+00,0.0000,匹配
价格,wage,0.2750076666,0.2750076666,0.00e+00,0.0000,匹配
价格,KL_ratio,4.5118623507,4.5118623507,0.00e+00,0.0000,匹配
加总变量,C_agg,0.1083626448,0.1083626448,0.00e+00,0.0000,匹配
加总变量,K_corp,0.7526152623,-0.1001014809,8.53e-01,113.3005,较大
加总变量,K_agg,1.2399273180,0.9558186765,2.84e-01,22.9133,较大
加总变量,K_small,0.4873120557,1.0559201573,5.69e-01,116.6825,较大
加总变量,L_agg,0.3174740466,0.3022096172,1.53e-02,4.8081,较小
加总变量,L_corp,0.1668081169,-0.0221862887,1.89e-01,113.3005,较大
加总变量,L_small,0.1506659297,0.3243959060,1.74e-01,115.3081,较大
加总变量,Y_corp,0.0655335871,-0.0087162850,7.42e-02,113.3005,较大
加总变量,output_small,0.0639361015,0.1365959104,7.27e-02,113.6444,较大
加总变量,exit_rate,0.0210245223,0.0169434522,4.08e-03,19.4110,较大
加总变量,entry_rate,0.0210245222,0.0169434545,4.08e-03,19.4110,较大
加总变量,Mactive,0.0171161627,0.0430982474,2.60e-02,151.7985,较大
加总变量,Mentr,0.0003598591,0.0007302332,3.70e-04,102.9219,较大
模型矩,avefirmsize,8.8025530246,7.5268932096,1.28e+00,14.4919,较大
模型矩,empshare_small,0.4745771547,1.0734135761,5.99e-01,126.1832,较大
模型矩,revshare_small,0.4938306579,1.0681600761,5.74e-01,116.3009,较大
模型矩,exitrate,0.0210245223,0.0169434522,4.08e-03,19.4110,较大
模型矩,avefirmsize_age0,5.3071120920,2.9265251875,2.38e+00,44.8565,较大
模型矩,autocorr_emp,0.9526674303,0.9536044761,9.37e-04,0.0984,很小
模型矩,fixedcost_to_rev,0.2285877024,0.9525540427,7.24e-01,316.7127,较大
模型矩,hasNetDebt,0.2189725701,0.1877000732,3.13e-02,14.2815,较大
模型矩,jcr,0.1104459543,0.1133089717,2.86e-03,2.5922,较小
模型矩,jdr,0.1173672698,0.1158374741,1.53e-03,1.3034,较小
模型矩,entryrate,0.0210245222,0.0169434545,4.08e-03,19.4110,较大
模型矩,frac_exit_forced,0.5362064287,0.2257567863,3.10e-01,57.8974,较大
模型矩,frac_exit_vol,0.3146644454,0.5446596255,2.30e-01,73.0922,较大
